No	カードパック	職業	種類	カード名1		カード名2	カード名3	コスト	攻撃力	体力	系統	画像	レア度	シンクロ	熟練度	ダンジョン	おうえん	スキルリンク	占い	パワフルバッジ	BET	絶好調	必殺技	メタルボディ
1	13_星降りの決戦	共通	特技(トークン)	【???のたまご】	【???のたまご	???のたまご	???のたまご	0					0											
2	13_星降りの決戦	共通	特技(トークン)	【???のたまご】	【???のたまご	???のたまご	???のたまご1	0					0											
3	11_英雄たちの凱旋	武闘家	ユニット	【Ｓキラーマシン】	【Ｓキラーマシン	Ｓキラーマシン	Ｓキラーマシン	8	4	8	物質		3											
4	01スタンダード	武闘家	ユニット	【アークデーモン】	【アークデーモン	アークデーモン	アークデーモン	7	6	6	あくま		2											
5	05_勇気の英雄譚	魔法使い	ユニット	【アークマージ】	【アークマージ	アークマージ	アークマージ	6	2	7			1											
6	06_小さな希望の	武闘家	ユニット	【アームライオン】	【アームライオン	アームライオン	アームライオン	5	3	4			2									a		
7	02力の咆哮	魔剣士	ユニット(トークン)	【アイアンアント】	【アイアンアント	アイアンアント	アイアンアント	1	0	1			0											
8	02力の咆哮	戦士	ユニット	【アイアンクック】	【アイアンクック	アイアンクック	アイアンクック	3	2	4	物質		0											
9	06_小さな希望の	僧侶	ユニット	【アイアンナイト】	【アイアンナイト	アイアンナイト	アイアンナイト	5	3	6	物質		0											
10	09_再会と誓い	魔法使い	ユニット	【アイスゴーレム】	【アイスゴーレム	アイスゴーレム	アイスゴーレム	3	2	4	物質		0											
11	07_光と闇の	魔法使い	ユニット	【アイスコンドル】	【アイスコンドル	アイスコンドル	アイスコンドル	1	2	1			0											
12	05_勇気の英雄譚	魔法使い	特技	【アイスフォース】	【アイスフォース	アイスフォース	アイスフォース	2					0											
13	01スタンダード	魔法使い	ユニット	【アイスボンバー】	【アイスボンバー	アイスボンバー	アイスボンバー	4	3	3			1											
14	08_カジノ	戦士	ユニット	【アイラ】	【アイラ	アイラ	アイラ	6	5	4	冒険者		3								a			
15	01スタンダード	商人	ユニット	【あおだけ童子】	【あおだけ童子	あおだけ童子	あおだけ童子	2	2	3			0											
16	03不死鳥	共通	ユニット	【アカイライ】	【アカイライ	アカイライ	アカイライ	3	4	2			0											
17	03不死鳥	武闘家	ユニット	【アカリリス】	【アカリリス	アカリリス	アカリリス	7	2	3			2											
18	13_星降りの決戦	共通	ユニット(トークン)	【アクアスライム】	【アクアスライム	アクアスライム	アクアスライム	2	2	2	スライム		0											
19	10_破壊と創造	僧侶	ユニット	【アクバー】	【アクバー	アクバー	アクバー	7	6	6	魔王		3											
20	07_光と闇の	占い師	ユニット	【あくましんかん】	【あくましんかん	あくましんかん	あくましんかん	2	2	2	あくま		2						a					
21	07_光と闇の	占い師	ユニット	【あくまのカガミ】	【あくまのカガミ	あくまのカガミ	あくまのカガミ	6	3	5	物質		2											
22	07_光と闇の	共通	ユニット	【あくまのきし】	【あくまのきし	あくまのきし	あくまのきし	5	3	6	あくま		2											
23	06_小さな希望の	魔法使い	ユニット	【あくまのす】	【あくまのす	あくまのす	あくまのす	2	2	3			0											
24	00ベーシック	盗賊	ユニット	【あくまのツボ】	【あくまのツボ	あくまのツボ	あくまのツボ	1	2	1	物質		0											
25	07_光と闇の	魔法使い	ユニット	【あくまのめだま】	【あくまのめだま	あくまのめだま	あくまのめだま	2	2	3	ゾンビ		0											
26	09_再会と誓い	魔法使い	ユニット	【あくまの書】	【あくまの書	あくまの書	あくまの書	2	2	2	物質		2											
27	13_星降りの決戦	共通	特技(トークン)	【あくま系のたまご】	【あくま系のたまご	あくま系のたまご	あくま系のたまご	0					0											
28	13_星降りの決戦	共通	特技(トークン)	【???のたまご】	【???のたまご	???のたまご	あくま系のたまご1	0					0											
29	00ベーシック	盗賊	特技	【アサシンアタック】	【アサシンアタック	アサシンアタック	アサシンアタック	3					1											
30	08_カジノ	武闘家	ユニット	【アサシンクロー】	【アサシンクロー	アサシンクロー	アサシンクロー	4	5	4			0								a			
31	10_破壊と創造	盗賊	建物	【アジト】	【アジト	アジト	アジト	2		4	建物B		2											
32	01スタンダード	武闘家	特技	【あしばらい】	【あしばらい	あしばらい	あしばらい	1					0											
33	04もりもり	魔剣士	ユニット	【アスラ王】	【アスラ王	アスラ王	アスラ王	7	4	5	ゾンビ		2											
34	00ベーシック	共通	ユニット	【アックスドラゴン】	【アックスドラゴン	アックスドラゴン	アックスドラゴン	5	5	3	ドラゴン		1											
35	13_星降りの決戦	戦士	ユニット	【アッシュリザード】	【アッシュリザード	アッシュリザード	アッシュリザード	3	2	4	ドラゴン		1											
36	13_星降りの決戦	占い師	ユニット	【アッフェブラック】	【アッフェブラック	アッフェブラック	アッフェブラック	3	5	4	あくま		1											
37	10_破壊と創造	共通	ユニット	【アデン】	【アデン	アデン	アデン	5	3	6	あくま		2											
38	01スタンダード	戦士	ユニット	【アトラス】	【アトラス	アトラス	アトラス	6	4	7	あくま		3											
39	02力の咆哮	占い師	ユニット	【あばれうしどり】	【あばれうしどり	あばれうしどり	あばれうしどり	1	2	1			0						a					
40	01スタンダード	共通	ユニット	【あばれこまいぬ】	【あばれこまいぬ	あばれこまいぬ	あばれこまいぬ	1	3	2			1											
41	06_小さな希望の	武闘家	ユニット	【あばれザル】	【あばれザル	あばれザル	あばれザル	2	3	2			1									a		
42	09_再会と誓い	占い師	ユニット	【あばれ足鳥】	【あばれ足鳥	あばれ足鳥	あばれ足鳥	2	2	2			2						a					
43	01スタンダード	共通	ユニット(トークン)	【アビスソルジャー】	【アビスソルジャー	アビスソルジャー	アビスソルジャー	3	3	3			0											
44	10_破壊と創造	盗賊	ユニット	【アフロのドン・モグーラ】	【アフロのドン・モグーラ	アフロのドン・モグーラ	アフロのドン・モグーラ	6	3	5			3											
45	13_星降りの決戦	占い師	ユニット	【あまのじゃく】	【あまのじゃく	あまのじゃく	あまのじゃく	2	2	2	あくま		1											
46	07_光と闇の	僧侶	特技	【アモールの雨】	【アモールの雨	アモールの雨	アモールの雨	1					0											
47	11_英雄たちの凱旋	共通	ユニット	【アモス】	【アモス	アモス	アモス	4	3	6	冒険者		3											
48	01スタンダード	共通	ユニット	【あやしいかげ】	【あやしいかげ	あやしいかげ	あやしいかげ	3	4	2			0											
49	01スタンダード	商人	ユニット(トークン)	【あらくれ】	【あらくれ	あらくれ	あらくれ	3	3	1			1											
50	01スタンダード	共通	ユニット	【あらくれチャッピー】	【あらくれチャッピー	あらくれチャッピー	あらくれチャッピー	4	3	2			0											
51	01スタンダード	商人	特技	【あらくれ呼び】	【あらくれ呼び	あらくれ呼び	あらくれ呼び	6					2										a	
52	12_そして伝説は	共通	建物(トークン)	【あらぶる光の世界】	【あらぶる光の世界	あらぶる光の世界	あらぶる光の世界	3		1	地図		2			a								
53	12_そして伝説は	商人	ユニット	【アリアハン王】	【アリアハン王	アリアハン王	アリアハン王	2	0	6			3											
54	01スタンダード	占い師	特技	【アルカナバースト】	【アルカナバースト	アルカナバースト	アルカナバースト	4					2											
55	00ベーシック	魔剣士	ユニット	【アルケミストン】	【アルケミストン	アルケミストン	アルケミストン	3	3	3			1											
56	09_再会と誓い	戦士	ユニット	【アルゴリザード】	【アルゴリザード	アルゴリザード	アルゴリザード	2	1	2	ドラゴン		2											
57	11_英雄たちの凱旋	共通	ユニット	【アルゴングレート】	【アルゴングレート	アルゴングレート	アルゴングレート	3	4	4	ドラゴン		0											
58	02力の咆哮	共通	ユニット	【アルミラージ】	【アルミラージ	アルミラージ	アルミラージ	4	3	3			0											
59	01スタンダード	共通	ユニット	【アローインプ】	【アローインプ	アローインプ	アローインプ	3	2	3			1											
60	02力の咆哮	商人	ユニット	【アロードッグ】	【アロードッグ	アロードッグ	アロードッグ	2	3	1			1											
61	13_星降りの決戦	魔剣士	ユニット	【アロダイタス】	【アロダイタス	アロダイタス	アロダイタス	3	4	5	あくま		0											
62	01スタンダード	共通	ユニット	【アンクルホーン】	【アンクルホーン	アンクルホーン	アンクルホーン	7	2	7	あくま		2											
